UUID;OBJEKTART;OBJEKTKLASSE_TLM;KUNSTBAUTE;NAME_UUID;NAME;STATUS;SPRACHCODE;NAMEN_TYP;NAMENGRUPPE_UUID;E;N;Z
{241EE835-77FE-4A54-8985-1123D7F839FA};Strasse;TLM_STRASSE;Bruecke;{9538D18A-C6BE-475B-A270-A1616204950C};Lehnenbrücke Val di Taus;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2766382;1204586;687
{E6CBD94B-F54B-41DB-BCC2-1AB169D55739};Strasse;TLM_STRASSE;Unterfuehrung;{6B8D55C3-E96F-495E-B38E-ACA424A6CDAB};Passage à faune de la Raisse;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2547599;1190830;458
{1B9BA07D-B48F-4D35-91F9-48D06D7D2F11};Strasse;TLM_STRASSE;Unterfuehrung;{6B8D55C3-E96F-495E-B38E-ACA424A6CDAB};Passage à faune de la Raisse;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2547597;1190831;461
{1F2E89A2-219F-40C7-852C-272FFE68BB3B};Strasse;TLM_STRASSE;Keine;{82CBB17F-FF85-4074-BBBF-427AF82CEB8C};Chärpfbrugg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2726724;1199946;1831
{A8B74E03-C42C-488C-B08A-5BFEA36CB358};Strasse;TLM_STRASSE;Tunnel;{5B3BD1CE-4500-4AE8-9E35-CCAEE90008F8};Tunnel de la Côte de Chaux;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2580580;1226893;675
{D455836B-B7CA-4B17-9079-CAD3D05B79CA};Strasse;TLM_STRASSE;Tunnel;{5B3BD1CE-4500-4AE8-9E35-CCAEE90008F8};Tunnel de la Côte de Chaux;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2580556;1226895;675
{8120CF91-FE3A-43F5-B192-B3EBB2DB6041};Strasse;TLM_STRASSE;Gedeckte Bruecke;{576B6E5E-8241-4459-A928-B2E36F0052D3};Änderbergbrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2634006;1169181;581
{538608FB-3841-4694-91F1-CDD68E642F73};Strasse;TLM_STRASSE;Tunnel;{D1697E97-9F5F-461E-B27E-4895651D4BCD};Galleria Mappo-Morettina;offiziell;Italienisch inkl. Lokalsprachen;Einfacher Name;;2705603;1115731;206
{9F7E56ED-930D-4A78-BF2F-E79FAAAE1037};Strasse;TLM_STRASSE;Bruecke;{30CD26F6-D602-4E2C-9BF3-ADD6E99D32A4};Schleissenbrügg;offiziell;Hochdeutsch inkl. Lokalsprachen;Einfacher Name;;2671006;1191024;575
{46417A5D-3694-471E-B138-8E24192B3F8E};Strasse;TLM_STRASSE;Bruecke;{C5761AC0-4967-4D27-80BA-44DFB1FB1736};Pont des Clées;offiziell;Franzoesisch inkl. Lokalsprachen;Einfacher Name;;2552986;1201487;471
